Sector_Code,Sector_Name,Category,Water_2015_m3_per_million_EUR,Water_2015_m3_per_million_INR,Water_2015_m3_per_INR_crore,Water_2019_m3_per_million_EUR,Water_2019_m3_per_million_INR,Water_2019_m3_per_INR_crore,Water_2022_m3_per_million_EUR,Water_2022_m3_per_million_INR,Water_2022_m3_per_INR_crore,Absolute_Change_EUR_2015_2019,Absolute_Change_INR_crore_2015_2019,Percent_Change_2015_2019,Absolute_Change_EUR_2019_2022,Absolute_Change_INR_crore_2019_2022,Percent_Change_2019_2022,Absolute_Change_EUR_2015_2022,Absolute_Change_INR_crore_2015_2022,Percent_Change_2015_2022
IN.11,Meat animals nec,Agriculture & Livestock,3047.00938,43.52870542857143,435.28705428571425,2631.5331199999996,33.39509035532995,333.9509035532995,401.41266499999995,4.86560806060606,48.6560806060606,-415.47626000000037,-101.33615073241475,-23.280250798221942,-2230.1204549999998,-285.2948229472389,-85.42991368267653,-2645.596715,-386.63097367965366,-88.82186631886685
IN.5,"Sugar cane, sugar beet",Agriculture & Livestock,66390.07807382,948.4296867688571,9484.29686768857,67905.36678511,861.7432333135788,8617.432333135788,50479.94131801,611.8780765819395,6118.780765819394,1515.2887112900062,-866.8645345527821,-9.139996936473766,-17425.4254671,-2498.651567316394,-28.99531067688762,-15910.136755809996,-3365.516101869176,-35.48513710577281
IN.7,Crops nec,Agriculture & Livestock,52389.248380000005,748.4178340000001,7484.17834,51499.125309999996,653.5421993654822,6535.4219936548225,41527.23522238801,503.3604269380365,5033.604269380365,-890.1230700000087,-948.7563463451779,-12.676825383839315,-9971.890087611988,-1501.8177242744578,-22.979656033474154,-10862.013157611997,-2450.5740706196357,-32.74339054814306
IN.1,Wheat,Agriculture & Livestock,106080.3581,1515.433687142857,15154.33687142857,108959.25202,1382.7316246192893,13827.316246192893,109037.18933384828,1321.6629010163429,13216.62901016343,2878.8939200000023,-1327.0206252356766,-8.756704756712546,77.93731384827697,-610.6872360294637,-4.416527263794469,2956.831233848279,-1937.7078612651403,-12.786489767516821
IN.4,Oil seeds,Agriculture & Livestock,30037.8,429.1114285714286,4291.114285714286,33295.8,422.5355329949239,4225.35532994924,35894.9,435.089696969697,4350.89696969697,3258.0000000000036,-65.75895576504627,-1.5324443970071577,2599.0999999999985,125.54163974773019,2.9711491752279824,5857.100000000002,59.78268398268392,1.3931735691583191
IN.84,Primary solid biofuels,Manufacturing,866.09977192704,12.372853884672,123.72853884672,970.9734079394,12.321997562682741,123.2199756268274,1082.119433123755,13.11659918937885,131.1659918937885,104.87363601235995,-0.5085632198925936,-0.4110281381737125,111.14602518435504,7.946016266961081,6.448590612547537,216.019661196715,7.437453047068487,6.011056952440626
IN.72,Liquefied Refinery Gases,Manufacturing,1763.7021662095399,25.195745231564857,251.95745231564857,2281.07476719279,28.947649329857743,289.47649329857745,2306.24669284196,27.954505367781334,279.5450536778133,517.3726009832503,37.519040982928885,14.890963425956343,25.17192564916968,-9.931439620764138,-3.430815814934703,542.54452663242,27.587601362164747,10.94926608280779
IN.3,"Vegetables, fruit, nuts",Agriculture & Livestock,37921.23,541.7318571428572,5417.318571428572,38132.058,483.9093654822335,4839.093654822335,49719.9309,602.665829090909,6026.65829090909,210.82799999999406,-578.2249166062365,-10.67363497726526,11587.872900000002,1187.564636086755,24.541049944193656,11798.700899999996,609.3397194805184,11.247992876296806
IN.8,Cattle,Agriculture & Livestock,2332.517,33.32167142857143,333.21671428571426,2725.58,34.58857868020305,345.8857868020305,3118.31,37.79769696969697,377.9769696969697,393.0630000000001,12.669072516316248,3.802040519806602,392.73,32.09118289493921,9.277944148039026,785.7930000000001,44.76025541125546,13.432735863759095
IN.2,Cereal grains nec,Agriculture & Livestock,8488.5620492,121.26517213142857,1212.6517213142856,11591.90212714,147.105356943401,1471.0535694340101,12752.898259496,154.58058496358788,1545.8058496358788,3103.34007794,258.4018481197245,21.30880866202699,1160.996132356,74.75228020186864,5.081543659568637,4264.336210296,333.15412832159313,27.473168737090468
